year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Higher Education - Academic Track,85.76,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Higher Education - Vocational Track,85.49,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Higher Education - Teacher Education Track,80.07,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Other Education,93.65,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคใต้,นอกเขตเทศบาล,No Data,84.34,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Total,67.36,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,No Education,49.45,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Below Primary Education,54.72,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Primary Education,77.12,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Lower Secondary Education,62.07,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Upper Secondary Education - General Track,66.94,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Upper Secondary Education - Vocational Track,69.7,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Upper Secondary Education - Academic Track,74.18,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Higher Education - Academic Track,83.9,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Higher Education - Vocational Track,82.59,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Higher Education - Teacher Education Track,71.2,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,Other Education,91.57,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,Total,No Data,83.4,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,ในเขตเทศบาล,Total,67.39,Percentage,National Statistical Office of Thailand
2561,Quarter 2,Nationwide,ในเขตเทศบาล,No Education,53.71,Percentage,National Statistical Office of Thailand
